epoch,categorical_accuracy,false_negatives,loss,val_categorical_accuracy,val_false_negatives,val_loss
0,0.6209999918937683,751.0,1.67769455909729,0.6966999769210815,45.0,1.2323200702667236
1,0.7596571445465088,50.0,1.0140783786773682,0.70660001039505,53.0,1.1449120044708252
2,0.8199999928474426,7.0,0.7714894413948059,0.7063999772071838,82.0,1.1375179290771484
3,0.8635143041610718,3.0,0.6154094338417053,0.7039999961853027,76.0,1.1397532224655151
4,0.8931285738945007,0.0,0.5010467767715454,0.6970999836921692,87.0,1.157710075378418
5,0.9330571293830872,0.0,0.37665194272994995,0.7073000073432922,80.0,1.1208966970443726
6,0.9368714094161987,0.0,0.36309415102005005,0.7084000110626221,79.0,1.1191362142562866
7,0.9388142824172974,0.0,0.3571286201477051,0.708899974822998,78.0,1.1185646057128906
8,0.942385733127594,0.0,0.34804633259773254,0.7078999876976013,77.0,1.12003493309021
9,0.9435142874717712,0.0,0.34330183267593384,0.7095999717712402,82.0,1.114280343055725
10,0.9461857080459595,0.0,0.33685094118118286,0.708299994468689,84.0,1.1189805269241333
11,0.9452571272850037,0.0,0.33498579263687134,0.7080000042915344,84.0,1.1224572658538818
12,0.9476714134216309,0.0,0.3297059237957001,0.7098000049591064,89.0,1.1202030181884766
13,0.947528600692749,0.0,0.3295781910419464,0.7095999717712402,88.0,1.1242457628250122
14,0.9487857222557068,0.0,0.3272120952606201,0.7117000222206116,87.0,1.1168642044067383
15,0.9495142698287964,0.0,0.3239678144454956,0.7114999890327454,90.0,1.1173877716064453
16,0.9508714079856873,0.0,0.32248973846435547,0.7088000178337097,91.0,1.1248316764831543
17,0.9509714245796204,0.0,0.32177799940109253,0.7113000154495239,95.0,1.122979998588562
18,0.9513857364654541,0.0,0.317902147769928,0.7113999724388123,94.0,1.1239979267120361
19,0.953499972820282,0.0,0.3160157799720764,0.7084000110626221,95.0,1.1362662315368652
20,0.9529285430908203,0.0,0.3152622580528259,0.7093999981880188,94.0,1.131272554397583
21,0.9543856978416443,0.0,0.312190443277359,0.7080000042915344,96.0,1.1338225603103638
22,0.9538142681121826,0.0,0.30977556109428406,0.7087000012397766,101.0,1.1365729570388794
23,0.9545000195503235,0.0,0.31028833985328674,0.7123000025749207,97.0,1.1238270998001099
24,0.9554428458213806,0.0,0.3065679967403412,0.7106999754905701,94.0,1.132694959640503
25,0.9556285738945007,0.0,0.307227224111557,0.710099995136261,100.0,1.1341676712036133
26,0.9550856947898865,0.0,0.30635175108909607,0.7081000208854675,98.0,1.1387139558792114
27,0.9573428630828857,0.0,0.30341222882270813,0.7077999711036682,101.0,1.1399469375610352
28,0.9563999772071838,0.0,0.3039548397064209,0.7085000276565552,98.0,1.1422523260116577
29,0.9587571620941162,0.0,0.29913201928138733,0.7085999846458435,101.0,1.140175700187683
30,0.9575571417808533,0.0,0.29853007197380066,0.7092000246047974,98.0,1.141610026359558
31,0.9586571455001831,0.0,0.29887035489082336,0.7074000239372253,101.0,1.1424287557601929
32,0.9578714370727539,0.0,0.2960185706615448,0.7084000110626221,100.0,1.1428991556167603
33,0.9583428502082825,0.0,0.2972533106803894,0.7084000110626221,100.0,1.1392605304718018
